1,1,571249.589999999850000,614140.910000000150000,UNPAVED
2,1,571274.010000001640000,614057.750000000000000,UNPAVED
3,1,571284.210000000890000,613993.940000000410000,UNPAVED
4,1,571277.879999998960000,613896.129999999890000,UNPAVED
5,1,571241.600000001490000,613186.719999999740000,UNPAVED
6,1,571225.820000000300000,612882.679999999700000,UNPAVED
7,1,571218.890000000600000,612825.719999999740000,UNPAVED
8,1,571191.050000000750000,612715.169999999930000,UNPAVED
9,1,571162.910000000150000,612625.929999999700000,UNPAVED
10,1,571139.429999999700000,612534.980000000450000,UNPAVED
11,1,571129.559999998660000,612467.320000000300000,UNPAVED
12,1,571132.199999999250000,612390.969999999740000,UNPAVED
13,1,571145.890000000600000,612300.549999999810000,UNPAVED
14,1,571171.050000000750000,612165.879999999890000,UNPAVED
15,1,571305.210000000890000,611627.690000000410000,UNPAVED
16,1,571305.280600000170000,611627.394500000400000,UNPAVED
17,2,571841.800000000750000,622151.379999999890000,PAVED
18,2,571928.370000001040000,622157.950000000190000,PAVED
19,2,572126.170000001790000,622178.580000000070000,PAVED
20,2,572350.320000000300000,622196.019999999550000,PAVED
21,2,572422.940000001340000,622204.190000000410000,PAVED
22,2,572452.339999999850000,622204.610000000340000,PAVED
23,2,572495.690000001340000,622203.459999999960000,PAVED
24,2,572605.600000001490000,622201.500000000000000,PAVED
25,2,572735.780000001190000,622189.160000000150000,PAVED
26,2,572883.010000001640000,622175.309999999590000,PAVED
27,2,573014.760000001640000,622161.230000000450000,PAVED
28,2,573138.780000001190000,622147.040000000040000,PAVED
29,2,573242.629999998960000,622136.120000000110000,PAVED
30,2,573295.230000000450000,622136.879999999890000,PAVED
31,2,573370.969999998810000,622143.309999999590000,PAVED
32,2,573429.719999998810000,622147.719999999740000,PAVED
33,2,573527.170000001790000,622150.910000000150000,PAVED
34,2,573555.000000000000000,622153.089999999850000,PAVED
35,2,573644.640000000600000,622161.500000000000000,PAVED
36,2,573729.690000001340000,622166.290000000040000,PAVED
37,2,573776.160000000150000,622163.419999999930000,PAVED
38,2,573852.239999998360000,622146.759999999780000,PAVED
39,2,573946.980000000450000,622123.269999999550000,PAVED
40,2,574495.390000000600000,621987.370000000110000,PAVED
41,2,575166.570000000300000,621810.669999999930000,PAVED
42,2,575671.500000000000000,621679.519999999550000,PAVED
43,2,575750.679999999700000,621662.919999999930000,PAVED
44,2,575820.199999999250000,621671.049999999810000,PAVED
45,2,575902.030000001190000,621684.690000000410000,PAVED
46,2,575995.920000001790000,621719.830000000070000,PAVED
47,2,576177.199999999250000,621811.339999999850000,PAVED
48,2,577093.089999999850000,622251.299999999810000,PAVED
49,2,577208.289999999110000,622309.860000000340000,PAVED
50,2,577323.699999999250000,622354.219999999740000,PAVED
51,2,577465.359999999400000,622402.519999999550000,PAVED
52,2,577594.730000000450000,622445.309999999590000,PAVED
53,2,577640.929999999700000,622460.209999999960000,PAVED
54,2,578064.539999999110000,622599.780000000260000,PAVED
55,2,578254.000000000000000,622659.459999999960000,PAVED
56,2,578389.489999998360000,622705.900000000370000,PAVED
57,2,578497.289999999110000,622741.269999999550000,PAVED
58,2,578521.969999998810000,622746.969999999740000,PAVED
59,2,578537.440000001340000,622747.200000000190000,PAVED
60,2,578594.609999999400000,622753.389999999660000,PAVED
61,2,578641.129999998960000,622746.980000000450000,PAVED
62,2,578697.019999999550000,622735.379999999890000,PAVED
63,2,578785.719999998810000,622702.959999999960000,PAVED
64,2,579347.129999998960000,622521.280000000260000,PAVED
65,2,579736.000000000000000,622390.330000000070000,PAVED
66,2,579774.839999999850000,622380.259999999780000,PAVED
67,2,580653.679999999700000,622087.959999999960000,PAVED
68,2,580711.350000001490000,622067.509999999780000,PAVED
69,2,580756.760000001640000,622032.669999999930000,PAVED
70,2,580824.160000000150000,621976.830000000070000,PAVED
71,2,581078.600000001490000,621731.959999999960000,PAVED
72,2,581157.109999999400000,621658.540000000040000,PAVED
73,2,581221.489999998360000,621597.330000000070000,PAVED
74,2,581287.260000001640000,621546.809999999590000,PAVED
75,2,581338.710000000890000,621522.719999999740000,PAVED
76,2,581355.890000000600000,621512.320000000300000,PAVED
77,2,581366.030000001190000,621507.030000000260000,PAVED
78,2,581366.185699999330000,621507.021999999880000,PAVED
79,3,571713.399999998510000,621932.780000000260000,UNPAVED
80,3,571707.469999998810000,621914.929999999700000,UNPAVED
81,3,571590.410000000150000,621552.589999999850000,UNPAVED
82,3,571255.910000000150000,620488.900000000370000,UNPAVED
83,3,571227.899999998510000,620390.780000000260000,UNPAVED
84,3,571214.570000000300000,620349.730000000450000,UNPAVED
85,3,571168.449999999250000,620219.370000000110000,UNPAVED
86,3,571140.289999999110000,620131.910000000150000,UNPAVED
87,3,571136.420000001790000,620078.559999999590000,UNPAVED
88,3,571137.559999998660000,619998.629999999890000,UNPAVED
89,3,571162.129999998960000,619904.820000000300000,UNPAVED
90,3,571213.850000001490000,619752.769999999550000,UNPAVED
91,3,571596.149999998510000,618571.459999999960000,UNPAVED
92,3,571618.109999999400000,618443.849999999630000,UNPAVED
93,3,571655.859999999400000,618295.160000000150000,UNPAVED
94,3,571674.390000000600000,618190.599999999630000,UNPAVED
95,3,571685.420000001790000,618069.950000000190000,UNPAVED
96,3,571688.320000000300000,617975.830000000070000,UNPAVED
97,3,571667.960000000890000,617884.919999999930000,UNPAVED
98,3,571614.379999998960000,617734.910000000150000,UNPAVED
99,3,571458.480000000450000,617379.120000000110000,UNPAVED
100,3,571197.929999999700000,616762.419999999930000,UNPAVED
