"175548.0000","NO",865
"008171.0000","NO",863
"181217.0000","NO",864
"137371.0000","NO",864
"074482.1176","NO",863
"011987.5242","NO",864
"141919.0010","NO",863
"012931.7012","NO",864
"060846.0420","NO",863
"035304.0000","NO",865
"051532.1588","NO",866
"000216.0000","NO",873
"092158.1108","NO",873
"057474.4108","NO",877
"095624.0000","NO",877
"067494.0512","NO",893
"107568.0000","NO",873
"038417.0862","NO",873
"043173.7122","NO",892
"077167.1000","NO",892
"072310.5906","NO",898
"002482.0000","NO",899
"077417.0352","NO",892
"162841.0000","NO",894
"065913.1416","NO",898
"003597.5000","NO",898
"065683.5432","NO",898
"016329.4510","NO",898
"130357.0000","NO",900
"206958.0000","NO",900
"027780.0000","NO",900
"015927.0222","NO",900
"062204.0000","NO",899
"009249.0316","NO",900
"015929.0134","NO",900
"018955.0426","NO",907
"077687.8126","NO",907
"085146.0100","NO",907
"015893.3390","NO",900
"196244.0408","NO",885
"058117.4346","NO",907
"046285.0000","NO",907
"090699.0000","NO",885
"161434.0000","NO",885
"076828.8068","NO",885
"097446.0000","NO",885
"074743.5712","NO",908
"002682.1600","NO",907
"010878.0000","NO",907
"003545.0954","NO",887
"074748.6398","NO",911
"065730.0646","NO",911
"004037.5344","NO",912
"004339.8228","NO",912
"133425.0000","NO",890
"005231.6006","NO",891
"011077.0000","NO",914
"144208.0000","NO",890
"151191.0000","NO",890
"077687.7722","NO",890
"048756.0000","NO",887
"034758.1522","NO",887
"004529.4276","NO",915
"004041.5322","NO",918
"064632.5440","NO",918
"077240.0348","NO",915
"051358.0876","NO",886
"004529.5162","NO",918
"101042.0100","NO",914
"016252.1836","NO",914
"166100.0000","NO",918
"087322.0100","NO",920
"067646.0000","NO",920
"014852.5350","NO",920
"066182.0000","NO",920
"145757.0000","NO",920
"123140.0000","NO",921
"049102.1252","NO",920
"059248.4078","NO",920
"150237.0000","NO",920
"121129.0000","NO",920
"003583.0000","NO",920
"127555.0000","NO",925
"088079.0368","NO",922
"148266.0510","NO",922
"017242.0000","NO",925
"140926.0000","NO",925
"005755.5472","NO",925
"066268.1164","NO",926
"076738.2668","NO",926
"073724.5158","NO",926
"073488.0000","NO",926
"047804.0000","NO",926
"140585.0000","NO",927
"023742.3740","NO",927
"145757.0000","NO",920
"144471.0500","NO",925
"019187.5302","NO",925
"160083.0000","NO",926
"030387.5386","NO",926
"187330.0000","NO",925
